_embedded_show_schedule_time,_embedded_show_schedule_days
,['Monday']
,"['Monday', 'Thursday']"
,['Friday']
10:00,['Wednesday']
,"['Tuesday', 'Wednesday']"
,"['Tuesday', 'Wednesday']"
,"['Thursday', 'Friday', 'Saturday']"
,"['Thursday', 'Friday', 'Saturday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
19:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,['Wednesday']
,[]
,"['Wednesday', 'Thursday']"
,"['Wednesday', 'Thursday']"
,['Wednesday']
,['Wednesday']
12:30,"['Wednesday', 'Thursday']"
12:30,"['Wednesday', 'Thursday']"
12:30,"['Wednesday', 'Thursday']"
12:30,"['Wednesday', 'Thursday']"
12:30,"['Wednesday', 'Thursday']"
12:30,"['Wednesday', 'Thursday']"
18:00,['Friday']
,['Wednesday']
,['Wednesday']
18:00,['Wednesday']
,"['Wednesday', 'Thursday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,['Friday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,['Wednesday']
,[]
,"['Wednesday', 'Thursday']"
,['Wednesday']
,['Thursday']
,[]
,[]
,[]
,[]
,[]
,[]
,['Thursday']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Wednesday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,[]
,['Wednesday']
,[]
,[]
20:00,['Thursday']
20:00,['Thursday']
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Tuesday', 'Wednesday']"
20:00,"['Tuesday', 'Wednesday']"
20:00,"['Wednesday', 'Thursday', 'Friday']"
20:00,"['Wednesday', 'Thursday', 'Friday']"
,['Wednesday']
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
,['Wednesday']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,['Sunday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,[]
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
,['Wednesday']
,['Wednesday']
,[]
,['Thursday']
,['Monday']
,[]
,['Wednesday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
08:30,['Saturday']
00:00,"['Monday', 'Wednesday', 'Friday']"
,['Monday']
,['Thursday']
19:00,['Wednesday']
19:00,['Wednesday']
20:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
20:30,['Friday']
20:00,['Tuesday']
20:00,['Saturday']
00:00,['Wednesday']
