_embedded_show_webChannel_id,_embedded_show_webChannel_name,_embedded_show_webChannel_country,_embedded_show_webChannel_officialSite
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
21,YouTube,,https://www.youtube.com
21,YouTube,,https://www.youtube.com
88,LINE TV,,https://www.linetv.tw/
21,YouTube,,https://www.youtube.com
21,YouTube,,https://www.youtube.com
88,LINE TV,,https://www.linetv.tw/
173,discovery+,,https://www.discoveryplus.com/
88,LINE TV,,https://www.linetv.tw/
21,YouTube,,https://www.youtube.com
51,Bilibili,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
1,Netflix,,https://www.netflix.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
67,iQIYI,,https://www.iq.com/
67,iQIYI,,https://www.iq.com/
118,Youku,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",
118,Youku,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
104,Tencent QQ,"{'name': 'China', 'code': 'CN', 'timezone': 'Asia/Shanghai'}",https://v.qq.com/
379,Shahid,,
88,LINE TV,,https://www.linetv.tw/
21,YouTube,,https://www.youtube.com
21,YouTube,,https://www.youtube.com
516,Tastemade,,
379,Shahid,,
131,Globoplay,"{'name': 'Brazil', 'code': 'BR', 'timezone': 'America/Noronha'}",
15,WWE Network,"{'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}",
30,Naver TVCast,"{'name': 'Korea, Republic of', 'code': 'KR', 'timezone': 'Asia/Seoul'}",https://tv.naver.com/
21,YouTube,,https://www.youtube.com
107,Paramount+,,https://www.paramountplus.com/
311,Dropout,"{'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}",
21,YouTube,,https://www.youtube.com
15,WWE Network,"{'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}",
83,DisneyNOW,"{'name': 'United States', 'code': 'US', 'timezone': 'America/New_York'}",
20,Crunchyroll,,
