_embedded_show_schedule_time,_embedded_show_schedule_days
,"['Monday', 'Wednesday', 'Friday']"
12:00,[]
12:00,[]
10:00,['Saturday']
12:00,['Saturday']
11:00,['Saturday']
,[]
,[]
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Wednesday', 'Saturday']"
06:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,['Wednesday']
17:00,['Saturday']
18:00,"['Thursday', 'Saturday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,['Saturday']
,[]
,[]
,['Saturday']
,[]
,['Saturday']
,['Saturday']
,['Saturday']
,['Saturday']
,['Monday']
,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Thursday', 'Friday', 'Saturday']"
,"['Thursday', 'Friday', 'Saturday']"
,[]
,['Saturday']
,[]
,[]
,[]
,[]
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
00:15,['Saturday']
,['Saturday']
,['Saturday']
,['Saturday']
,[]
,['Saturday']
,[]
,['Saturday']
16:00,['Saturday']
22:00,['Saturday']
