_embedded_show_schedule_time,_embedded_show_schedule_days
,"['Monday', 'Wednesday', 'Friday']"
,['Thursday']
,['Monday']
23:45,['Saturday']
10:00,['Tuesday']
10:00,"['Tuesday', 'Sunday']"
,"['Tuesday', 'Wednesday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Tuesday', 'Friday']"
08:00,['Sunday']
17:00,['Tuesday']
06:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
17:35,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,[]
19:00,['Thursday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,['Tuesday']
,['Tuesday']
,['Tuesday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,['Tuesday']
,[]
,[]
,['Tuesday']
,['Thursday']
,[]
,['Monday']
,['Thursday']
,['Tuesday']
,['Wednesday']
,"['Tuesday', 'Wednesday', 'Thursday']"
,['Tuesday']
,['Tuesday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,['Tuesday']
,['Tuesday']
,[]
,[]
,[]
,[]
,[]
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Tuesday', 'Wednesday']"
20:00,"['Tuesday', 'Wednesday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,['Tuesday']
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
,['Tuesday']
20:00,"['Tuesday', 'Wednesday']"
20:00,"['Tuesday', 'Wednesday']"
,"['Tuesday', 'Friday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
,['Tuesday']
,['Tuesday']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,['Thursday']
,[]
,[]
,[]
,[]
,[]
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
22:00,['Tuesday']
,[]
00:25,['Tuesday']
,['Tuesday']
,['Tuesday']
,['Friday']
20:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
20:40,['Tuesday']
20:40,['Tuesday']
15:00,['Tuesday']
