_embedded_show_schedule_time,_embedded_show_schedule_days
,[]
10:00,['Sunday']
10:00,['Wednesday']
10:00,"['Tuesday', 'Sunday']"
12:00,['Saturday']
,['Sunday']
06:00,['Sunday']
06:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
17:00,"['Thursday', 'Sunday']"
,['Friday']
,['Sunday']
,['Sunday']
,['Sunday']
,['Sunday']
,['Sunday']
,['Sunday']
,['Sunday']
,['Sunday']
,['Sunday']
,['Sunday']
,['Sunday']
21:00,['Sunday']
,['Friday']
,['Friday']
,[]
14:00,['Sunday']
,[]
,['Sunday']
,[]
,['Thursday']
,['Sunday']
,[]
,[]
,['Saturday']
,['Sunday']
,['Sunday']
,['Sunday']
,['Sunday']
,['Sunday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
,['Sunday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,[]
,['Sunday']
,['Thursday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
,['Sunday']
,['Tuesday']
,['Sunday']
22:30,['Sunday']
12:00,['Sunday']
12:00,['Sunday']
,['Sunday']
22:15,['Sunday']
20:00,['Tuesday']
20:00,['Sunday']
