_embedded_show_schedule_time,_embedded_show_schedule_days
,['Monday']
12:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
10:00,['Wednesday']
,"['Tuesday', 'Wednesday']"
,['Wednesday']
,['Wednesday']
,['Wednesday']
,['Wednesday']
,['Wednesday']
,['Wednesday']
,['Wednesday']
,['Wednesday']
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,[]
,"['Tuesday', 'Wednesday']"
19:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,['Wednesday']
,[]
,"['Wednesday', 'Thursday']"
,"['Wednesday', 'Thursday']"
06:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,[]
,[]
,[]
,['Friday']
,"['Wednesday', 'Thursday']"
,[]
,[]
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,['Friday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,['Wednesday']
,[]
,"['Wednesday', 'Thursday']"
,['Wednesday']
,['Wednesday']
,[]
,"['Tuesday', 'Wednesday', 'Thursday']"
,['Wednesday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,['Saturday']
,['Wednesday']
,[]
,[]
20:00,['Thursday']
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
,['Friday']
20:00,"['Tuesday', 'Wednesday']"
20:00,"['Tuesday', 'Wednesday']"
20:00,"['Wednesday', 'Thursday', 'Friday']"
20:00,"['Wednesday', 'Thursday', 'Friday']"
,['Wednesday']
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
,['Wednesday']
,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,[]
,['Friday']
,['Thursday']
,[]
,['Monday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
20:45,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
00:00,"['Monday', 'Wednesday', 'Friday']"
,['Thursday']
19:00,['Wednesday']
,['Monday']
,"['Wednesday', 'Thursday']"
19:00,['Wednesday']
20:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
20:30,['Monday']
22:00,['Monday']
21:30,['Friday']
20:00,['Tuesday']
00:00,['Wednesday']
