_embedded_show_schedule_time,_embedded_show_schedule_days
22:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
12:00,['Monday']
,"['Monday', 'Thursday']"
,"['Monday', 'Thursday']"
10:00,"['Monday', 'Friday']"
08:00,['Wednesday']
,"['Thursday', 'Friday', 'Saturday']"
,"['Thursday', 'Friday', 'Saturday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
19:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
10:00,"['Monday', 'Thursday']"
06:00,"['Monday', 'Thursday']"
17:00,"['Monday', 'Thursday', 'Saturday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,[]
,[]
,['Sunday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday']"
,[]
,"['Wednesday', 'Thursday']"
,['Monday']
,['Monday']
,['Monday']
,['Monday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
,['Friday']
20:00,['Monday']
20:00,['Monday']
20:00,['Monday']
20:00,['Monday']
20:00,['Monday']
20:00,"['Monday', 'Tuesday', 'Wednesday']"
20:00,"['Monday', 'Tuesday', 'Wednesday']"
,['Monday']
,['Monday']
,['Monday']
,['Monday']
,['Monday']
,"['Monday', 'Tuesday']"
,"['Monday', 'Tuesday']"
,"['Monday', 'Tuesday']"
,"['Monday', 'Tuesday']"
20:00,"['Monday', 'Saturday', 'Sunday']"
20:00,"['Monday', 'Saturday', 'Sunday']"
20:00,"['Monday', 'Saturday', 'Sunday']"
20:00,"['Monday', 'Saturday', 'Sunday']"
20:00,"['Monday', 'Saturday', 'Sunday']"
20:00,"['Monday', 'Saturday', 'Sunday']"
20:00,"['Monday', 'Saturday', 'Sunday']"
20:00,"['Monday', 'Saturday', 'Sunday']"
20:00,"['Monday', 'Sunday']"
20:00,"['Monday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,[]
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,[]
,['Monday']
,[]
,['Monday']
,[]
,[]
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
00:00,"['Monday', 'Wednesday', 'Friday']"
19:00,['Monday']
,"['Monday', 'Tuesday']"
,['Monday']
,['Monday']
,"['Monday', 'Sunday']"
20:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday']"
21:00,['Monday']
21:00,['Monday']
21:00,['Monday']
21:00,['Monday']
21:00,['Monday']
21:00,['Monday']
21:00,['Monday']
21:00,['Monday']
21:00,['Monday']
21:00,['Monday']
20:00,['Monday']
21:00,['Wednesday']
,['Monday']
