_embedded_show_schedule_time,_embedded_show_schedule_days
,['Friday']
,['Wednesday']
10:00,['Sunday']
10:00,['Wednesday']
10:00,"['Tuesday', 'Sunday']"
,['Friday']
,['Sunday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
06:00,['Sunday']
06:00,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
06:00,[]
06:00,[]
06:00,[]
17:00,"['Thursday', 'Sunday']"
18:55,['Thursday']
,['Friday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Friday', 'Saturday', 'Sunday']"
,['Sunday']
,['Sunday']
21:00,['Sunday']
,[]
14:00,['Sunday']
,[]
,['Sunday']
,['Sunday']
,[]
,['Thursday']
,['Sunday']
13:00,['Sunday']
,[]
,['Saturday']
,['Sunday']
,['Sunday']
,[]
,[]
,[]
,[]
,['Sunday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
,[]
,['Sunday']
,['Thursday']
,['Sunday']
,"['Monday', 'Tuesday', 'Wednesday', 'Thursday', 'Sunday']"
,['Sunday']
,['Sunday']
22:30,['Sunday']
,[]
,['Sunday']
,[]
,[]
22:15,['Sunday']
20:00,['Sunday']
